description,industry,level,size,line_code,value
Proportion of customers on long term price contract: 51-75%,total,0,50�99 employees,C0400.04,228
Proportion of customers on long term price contract: 51-75%,total,0,100+ employees,C0400.04,195
Proportion of customers on long term price contract: 51-75%,"Agriculture, forestry, & fishing",1,total,C0400.04,249
Proportion of customers on long term price contract: 51-75%,Agriculture,2,total,C0400.04,174
Proportion of customers on long term price contract: 51-75%,Commercial fishing,2,total,C0400.04,3
Proportion of customers on long term price contract: 51-75%,Forestry & logging,2,total,C0400.04,12
Proportion of customers on long term price contract: 51-75%,"Agriculture, forestry, & fishing support services",2,total,C0400.04,63
Proportion of customers on long term price contract: 51-75%,Mining,1,total,C0400.04,9
Proportion of customers on long term price contract: 51-75%,Manufacturing,1,total,C0400.04,321
Proportion of customers on long term price contract: 51-75%,"Food, beverage, & tobacco",2,total,C0400.04,87
Proportion of customers on long term price contract: 51-75%,"Textile, clothing, footwear, & leather",2,total,C0400.04,21
Proportion of customers on long term price contract: 51-75%,Wood & paper product,2,total,C0400.04,36
Proportion of customers on long term price contract: 51-75%,"Printing, publishing, & recorded media",2,total,C0400.04,6
Proportion of customers on long term price contract: 51-75%,"Petroleum, coal, chemical, & associated product",2,total,C0400.04,24
Proportion of customers on long term price contract: 51-75%,Non-metallic mineral product,2,total,C0400.04,12
Proportion of customers on long term price contract: 51-75%,Metal product,2,total,C0400.04,57
Proportion of customers on long term price contract: 51-75%,Transport and industrial machinery & equipment,2,total,C0400.04,39
Proportion of customers on long term price contract: 51-75%,Other machinery & equipment,2,total,C0400.04,24
Proportion of customers on long term price contract: 51-75%,Other manufacturing,2,total,C0400.04,12
Proportion of customers on long term price contract: 51-75%,"Electricity, gas, water, & waste services",1,total,C0400.04,33
Proportion of customers on long term price contract: 51-75%,Construction,1,total,C0400.04,636
Proportion of customers on long term price contract: 51-75%,Wholesale trade,1,total,C0400.04,201
Proportion of customers on long term price contract: 51-75%,Machinery & equipment wholesaling,2,total,C0400.04,63
Proportion of customers on long term price contract: 51-75%,Other wholesale trade,2,total,C0400.04,135
Proportion of customers on long term price contract: 51-75%,Retail trade,1,total,C0400.04,312
Proportion of customers on long term price contract: 51-75%,Accommodation & food services,1,total,C0400.04,195
Proportion of customers on long term price contract: 51-75%,"Transport, postal, & warehousing",1,total,C0400.04,153
Proportion of customers on long term price contract: 51-75%,Information media & telecommunications,1,total,C0400.04,54
Proportion of customers on long term price contract: 51-75%,Publishing,2,total,C0400.04,24
Proportion of customers on long term price contract: 51-75%,Motion picture,2,total,C0400.04,6
Proportion of customers on long term price contract: 51-75%,Telecommunications,2,total,C0400.04,21
Proportion of customers on long term price contract: 51-75%,Financial & insurance services,1,total,C0400.04,54
Proportion of customers on long term price contract: 51-75%,Finance,2,total,C0400.04,24
Proportion of customers on long term price contract: 51-75%,Insurance,2,total,C0400.04,3
Proportion of customers on long term price contract: 51-75%,Auxiliary,2,total,C0400.04,30
Proportion of customers on long term price contract: 51-75%,"Rental, hiring, & real estate services",1,total,C0400.04,54
Proportion of customers on long term price contract: 51-75%,"Professional, scientific, & technical services",1,total,C0400.04,375
Proportion of customers on long term price contract: 51-75%,Computer systems design,2,total,C0400.04,126
Proportion of customers on long term price contract: 51-75%,Other professional scientific,2,total,C0400.04,249
Proportion of customers on long term price contract: 51-75%,Administrative & support services,1,total,C0400.04,192
Proportion of customers on long term price contract: 51-75%,Education & training,1,total,C0400.04,90
Proportion of customers on long term price contract: 51-75%,Health care & social assistance,1,total,C0400.04,171
Proportion of customers on long term price contract: 51-75%,Arts & recreation services,1,total,C0400.04,24
Proportion of customers on long term price contract: 51-75%,Other services,1,total,C0400.04,102
Proportion of customers on long term price contract: 51-75%,total,0,total,C0400.04,3225
Proportion of customers on long term price contract: 76-100%,total,0,6�19 employees,C0400.05,5844
Proportion of customers on long term price contract: 76-100%,total,0,20�49 employees,C0400.05,1713
Proportion of customers on long term price contract: 76-100%,total,0,50�99 employees,C0400.05,597
Proportion of customers on long term price contract: 76-100%,total,0,100+ employees,C0400.05,525
Proportion of customers on long term price contract: 76-100%,"Agriculture, forestry, & fishing",1,total,C0400.05,897
Proportion of customers on long term price contract: 76-100%,Agriculture,2,total,C0400.05,495
Proportion of customers on long term price contract: 76-100%,Commercial fishing,2,total,C0400.05,12
Proportion of customers on long term price contract: 76-100%,Forestry & logging,2,total,C0400.05,120
Proportion of customers on long term price contract: 76-100%,"Agriculture, forestry, & fishing support services",2,total,C0400.05,270
Proportion of customers on long term price contract: 76-100%,Mining,1,total,C0400.05,36
Proportion of customers on long term price contract: 76-100%,Manufacturing,1,total,C0400.05,513
Proportion of customers on long term price contract: 76-100%,"Food, beverage, & tobacco",2,total,C0400.05,162
Proportion of customers on long term price contract: 76-100%,"Textile, clothing, footwear, & leather",2,total,C0400.05,27
Proportion of customers on long term price contract: 76-100%,Wood & paper product,2,total,C0400.05,45
Proportion of customers on long term price contract: 76-100%,"Printing, publishing, & recorded media",2,total,C0400.05,21
Proportion of customers on long term price contract: 76-100%,"Petroleum, coal, chemical, & associated product",2,total,C0400.05,66
Proportion of customers on long term price contract: 76-100%,Non-metallic mineral product,2,total,C0400.05,27
Proportion of customers on long term price contract: 76-100%,Metal product,2,total,C0400.05,57
Proportion of customers on long term price contract: 76-100%,Transport and industrial machinery & equipment,2,total,C0400.05,60
Proportion of customers on long term price contract: 76-100%,Other machinery & equipment,2,total,C0400.05,36
Proportion of customers on long term price contract: 76-100%,Other manufacturing,2,total,C0400.05,6
Proportion of customers on long term price contract: 76-100%,"Electricity, gas, water, & waste services",1,total,C0400.05,48
Proportion of customers on long term price contract: 76-100%,Construction,1,total,C0400.05,1272
Proportion of customers on long term price contract: 76-100%,Wholesale trade,1,total,C0400.05,498
Proportion of customers on long term price contract: 76-100%,Machinery & equipment wholesaling,2,total,C0400.05,144
Proportion of customers on long term price contract: 76-100%,Other wholesale trade,2,total,C0400.05,351
Proportion of customers on long term price contract: 76-100%,Retail trade,1,total,C0400.05,540
Proportion of customers on long term price contract: 76-100%,Accommodation & food services,1,total,C0400.05,429
Proportion of customers on long term price contract: 76-100%,"Transport, postal, & warehousing",1,total,C0400.05,372
Proportion of customers on long term price contract: 76-100%,Information media & telecommunications,1,total,C0400.05,114
Proportion of customers on long term price contract: 76-100%,Publishing,2,total,C0400.05,48
Proportion of customers on long term price contract: 76-100%,Motion picture,2,total,C0400.05,18
Proportion of customers on long term price contract: 76-100%,Telecommunications,2,total,C0400.05,48
Proportion of customers on long term price contract: 76-100%,Financial & insurance services,1,total,C0400.05,324
Proportion of customers on long term price contract: 76-100%,Finance,2,total,C0400.05,78
Proportion of customers on long term price contract: 76-100%,Insurance,2,total,C0400.05,24
Proportion of customers on long term price contract: 76-100%,Auxiliary,2,total,C0400.05,222
Proportion of customers on long term price contract: 76-100%,"Rental, hiring, & real estate services",1,total,C0400.05,330
Proportion of customers on long term price contract: 76-100%,"Professional, scientific, & technical services",1,total,C0400.05,969
Proportion of customers on long term price contract: 76-100%,Computer systems design,2,total,C0400.05,417
Proportion of customers on long term price contract: 76-100%,Other professional scientific,2,total,C0400.05,555
Proportion of customers on long term price contract: 76-100%,Administrative & support services,1,total,C0400.05,522
Proportion of customers on long term price contract: 76-100%,Education & training,1,total,C0400.05,345
Proportion of customers on long term price contract: 76-100%,Health care & social assistance,1,total,C0400.05,1167
Proportion of customers on long term price contract: 76-100%,Arts & recreation services,1,total,C0400.05,48
Proportion of customers on long term price contract: 76-100%,Other services,1,total,C0400.05,249
Proportion of customers on long term price contract: 76-100%,total,0,total,C0400.05,8682
Proportion of customers returning for repeat business: zero,total,0,6�19 employees,C0500.01,1008
Proportion of customers returning for repeat business: zero,total,0,20�49 employees,C0500.01,165
Proportion of customers returning for repeat business: zero,total,0,50�99 employees,C0500.01,54
Proportion of customers returning for repeat business: zero,total,0,100+ employees,C0500.01,24
Proportion of customers returning for repeat business: zero,"Agriculture, forestry, & fishing",1,total,C0500.01,252
Proportion of customers returning for repeat business: zero,Agriculture,2,total,C0500.01,186
Proportion of customers returning for repeat business: zero,Commercial fishing,2,total,C0500.01,6
Proportion of customers returning for repeat business: zero,Forestry & logging,2,total,C0500.01,24
Proportion of customers returning for repeat business: zero,"Agriculture, forestry, & fishing support services",2,total,C0500.01,39
Proportion of customers returning for repeat business: zero,Mining,1,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Manufacturing,1,total,C0500.01,30
Proportion of customers returning for repeat business: zero,"Food, beverage, & tobacco",2,total,C0500.01,12
Proportion of customers returning for repeat business: zero,"Textile, clothing, footwear, & leather",2,total,C0500.01,0
Proportion of customers returning for repeat business: zero,Wood & paper product,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,"Printing, publishing, & recorded media",2,total,C0500.01,0
Proportion of customers returning for repeat business: zero,"Petroleum, coal, chemical, & associated product",2,total,C0500.01,0
Proportion of customers returning for repeat business: zero,Non-metallic mineral product,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Metal product,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Transport and industrial machinery & equipment,2,total,C0500.01,9
Proportion of customers returning for repeat business: zero,Other machinery & equipment,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Other manufacturing,2,total,C0500.01,0
Proportion of customers returning for repeat business: zero,"Electricity, gas, water, & waste services",1,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Construction,1,total,C0500.01,189
Proportion of customers returning for repeat business: zero,Wholesale trade,1,total,C0500.01,27
Proportion of customers returning for repeat business: zero,Machinery & equipment wholesaling,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Other wholesale trade,2,total,C0500.01,21
Proportion of customers returning for repeat business: zero,Retail trade,1,total,C0500.01,54
Proportion of customers returning for repeat business: zero,Accommodation & food services,1,total,C0500.01,198
Proportion of customers returning for repeat business: zero,"Transport, postal, & warehousing",1,total,C0500.01,60
Proportion of customers returning for repeat business: zero,Information media & telecommunications,1,total,C0500.01,9
Proportion of customers returning for repeat business: zero,Publishing,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Motion picture,2,total,C0500.01,0
Proportion of customers returning for repeat business: zero,Telecommunications,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,Financial & insurance services,1,total,C0500.01,15
Proportion of customers returning for repeat business: zero,Finance,2,total,C0500.01,15
Proportion of customers returning for repeat business: zero,Insurance,2,total,C0500.01,0
Proportion of customers returning for repeat business: zero,Auxiliary,2,total,C0500.01,3
Proportion of customers returning for repeat business: zero,"Rental, hiring, & real estate services",1,total,C0500.01,39
Proportion of customers returning for repeat business: zero,"Professional, scientific, & technical services",1,total,C0500.01,48
Proportion of customers returning for repeat business: zero,Computer systems design,2,total,C0500.01,21
Proportion of customers returning for repeat business: zero,Other professional scientific,2,total,C0500.01,30
Proportion of customers returning for repeat business: zero,Administrative & support services,1,total,C0500.01,27
Proportion of customers returning for repeat business: zero,Education & training,1,total,C0500.01,54
Proportion of customers returning for repeat business: zero,Health care & social assistance,1,total,C0500.01,222
Proportion of customers returning for repeat business: zero,Arts & recreation services,1,total,C0500.01,15
Proportion of customers returning for repeat business: zero,Other services,1,total,C0500.01,0
Proportion of customers returning for repeat business: zero,total,0,total,C0500.01,1254
Proportion of customers returning for repeat business: 1-25%,total,0,6�19 employees,C0500.02,2331
Proportion of customers returning for repeat business: 1-25%,total,0,20�49 employees,C0500.02,459
Proportion of customers returning for repeat business: 1-25%,total,0,50�99 employees,C0500.02,147
Proportion of customers returning for repeat business: 1-25%,total,0,100+ employees,C0500.02,96
Proportion of customers returning for repeat business: 1-25%,"Agriculture, forestry, & fishing",1,total,C0500.02,57
Proportion of customers returning for repeat business: 1-25%,Agriculture,2,total,C0500.02,27
Proportion of customers returning for repeat business: 1-25%,Commercial fishing,2,total,C0500.02,0
Proportion of customers returning for repeat business: 1-25%,Forestry & logging,2,total,C0500.02,15
Proportion of customers returning for repeat business: 1-25%,"Agriculture, forestry, & fishing support services",2,total,C0500.02,15
Proportion of customers returning for repeat business: 1-25%,Mining,1,total,C0500.02,3
Proportion of customers returning for repeat business: 1-25%,Manufacturing,1,total,C0500.02,204
Proportion of customers returning for repeat business: 1-25%,"Food, beverage, & tobacco",2,total,C0500.02,12
Proportion of customers returning for repeat business: 1-25%,"Textile, clothing, footwear, & leather",2,total,C0500.02,9
Proportion of customers returning for repeat business: 1-25%,Wood & paper product,2,total,C0500.02,57
Proportion of customers returning for repeat business: 1-25%,"Printing, publishing, & recorded media",2,total,C0500.02,9
Proportion of customers returning for repeat business: 1-25%,"Petroleum, coal, chemical, & associated product",2,total,C0500.02,3
Proportion of customers returning for repeat business: 1-25%,Non-metallic mineral product,2,total,C0500.02,6
Proportion of customers returning for repeat business: 1-25%,Metal product,2,total,C0500.02,42
Proportion of customers returning for repeat business: 1-25%,Transport and industrial machinery & equipment,2,total,C0500.02,15
Proportion of customers returning for repeat business: 1-25%,Other machinery & equipment,2,total,C0500.02,12
Proportion of customers returning for repeat business: 1-25%,Other manufacturing,2,total,C0500.02,39
Proportion of customers returning for repeat business: 1-25%,"Electricity, gas, water, & waste services",1,total,C0500.02,12
Proportion of customers returning for repeat business: 1-25%,Construction,1,total,C0500.02,804
Proportion of customers returning for repeat business: 1-25%,Wholesale trade,1,total,C0500.02,69
Proportion of customers returning for repeat business: 1-25%,Machinery & equipment wholesaling,2,total,C0500.02,21
Proportion of customers returning for repeat business: 1-25%,Other wholesale trade,2,total,C0500.02,45
Proportion of customers returning for repeat business: 1-25%,Retail trade,1,total,C0500.02,168
Proportion of customers returning for repeat business: 1-25%,Accommodation & food services,1,total,C0500.02,471
Proportion of customers returning for repeat business: 1-25%,"Transport, postal, & warehousing",1,total,C0500.02,105
Proportion of customers returning for repeat business: 1-25%,Information media & telecommunications,1,total,C0500.02,21
Proportion of customers returning for repeat business: 1-25%,Publishing,2,total,C0500.02,3
Proportion of customers returning for repeat business: 1-25%,Motion picture,2,total,C0500.02,6
Proportion of customers returning for repeat business: 1-25%,Telecommunications,2,total,C0500.02,6
Proportion of customers returning for repeat business: 1-25%,Financial & insurance services,1,total,C0500.02,51
Proportion of customers returning for repeat business: 1-25%,Finance,2,total,C0500.02,24
Proportion of customers returning for repeat business: 1-25%,Insurance,2,total,C0500.02,0
Proportion of customers returning for repeat business: 1-25%,Auxiliary,2,total,C0500.02,30
Proportion of customers returning for repeat business: 1-25%,"Rental, hiring, & real estate services",1,total,C0500.02,171
Proportion of customers returning for repeat business: 1-25%,"Professional, scientific, & technical services",1,total,C0500.02,279
Proportion of customers returning for repeat business: 1-25%,Computer systems design,2,total,C0500.02,24
Proportion of customers returning for repeat business: 1-25%,Other professional scientific,2,total,C0500.02,255
Proportion of customers returning for repeat business: 1-25%,Administrative & support services,1,total,C0500.02,75
Proportion of customers returning for repeat business: 1-25%,Education & training,1,total,C0500.02,129
Proportion of customers returning for repeat business: 1-25%,Health care & social assistance,1,total,C0500.02,297
Proportion of customers returning for repeat business: 1-25%,Arts & recreation services,1,total,C0500.02,39
Proportion of customers returning for repeat business: 1-25%,Other services,1,total,C0500.02,78
Proportion of customers returning for repeat business: 1-25%,total,0,total,C0500.02,3036
Proportion of customers returning for repeat business: 26-50%,total,0,6�19 employees,C0500.03,5154
Proportion of customers returning for repeat business: 26-50%,total,0,20�49 employees,C0500.03,1017
Proportion of customers returning for repeat business: 26-50%,total,0,50�99 employees,C0500.03,222
Proportion of customers returning for repeat business: 26-50%,total,0,100+ employees,C0500.03,135
Proportion of customers returning for repeat business: 26-50%,"Agriculture, forestry, & fishing",1,total,C0500.03,75
Proportion of customers returning for repeat business: 26-50%,Agriculture,2,total,C0500.03,51
Proportion of customers returning for repeat business: 26-50%,Commercial fishing,2,total,C0500.03,3
Proportion of customers returning for repeat business: 26-50%,Forestry & logging,2,total,C0500.03,12
Proportion of customers returning for repeat business: 26-50%,"Agriculture, forestry, & fishing support services",2,total,C0500.03,9
Proportion of customers returning for repeat business: 26-50%,Mining,1,total,C0500.03,6
Proportion of customers returning for repeat business: 26-50%,Manufacturing,1,total,C0500.03,573
Proportion of customers returning for repeat business: 26-50%,"Food, beverage, & tobacco",2,total,C0500.03,129
Proportion of customers returning for repeat business: 26-50%,"Textile, clothing, footwear, & leather",2,total,C0500.03,24
Proportion of customers returning for repeat business: 26-50%,Wood & paper product,2,total,C0500.03,42
Proportion of customers returning for repeat business: 26-50%,"Printing, publishing, & recorded media",2,total,C0500.03,15
Proportion of customers returning for repeat business: 26-50%,"Petroleum, coal, chemical, & associated product",2,total,C0500.03,12
Proportion of customers returning for repeat business: 26-50%,Non-metallic mineral product,2,total,C0500.03,36
Proportion of customers returning for repeat business: 26-50%,Metal product,2,total,C0500.03,117
Proportion of customers returning for repeat business: 26-50%,Transport and industrial machinery & equipment,2,total,C0500.03,120
Proportion of customers returning for repeat business: 26-50%,Other machinery & equipment,2,total,C0500.03,15
Proportion of customers returning for repeat business: 26-50%,Other manufacturing,2,total,C0500.03,63
Proportion of customers returning for repeat business: 26-50%,"Electricity, gas, water, & waste services",1,total,C0500.03,15
Proportion of customers returning for repeat business: 26-50%,Construction,1,total,C0500.03,1083
Proportion of customers returning for repeat business: 26-50%,Wholesale trade,1,total,C0500.03,228
Proportion of customers returning for repeat business: 26-50%,Machinery & equipment wholesaling,2,total,C0500.03,90
Proportion of customers returning for repeat business: 26-50%,Other wholesale trade,2,total,C0500.03,138
Proportion of customers returning for repeat business: 26-50%,Retail trade,1,total,C0500.03,864
Proportion of customers returning for repeat business: 26-50%,Accommodation & food services,1,total,C0500.03,1974
Proportion of customers returning for repeat business: 26-50%,"Transport, postal, & warehousing",1,total,C0500.03,60
Proportion of customers returning for repeat business: 26-50%,Information media & telecommunications,1,total,C0500.03,36
Proportion of customers returning for repeat business: 26-50%,Publishing,2,total,C0500.03,9
Proportion of customers returning for repeat business: 26-50%,Motion picture,2,total,C0500.03,24
Proportion of customers returning for repeat business: 26-50%,Telecommunications,2,total,C0500.03,0
Proportion of customers returning for repeat business: 26-50%,Financial & insurance services,1,total,C0500.03,57
Proportion of customers returning for repeat business: 26-50%,Finance,2,total,C0500.03,30
Proportion of customers returning for repeat business: 26-50%,Insurance,2,total,C0500.03,3
Proportion of customers returning for repeat business: 26-50%,Auxiliary,2,total,C0500.03,27
Proportion of customers returning for repeat business: 26-50%,"Rental, hiring, & real estate services",1,total,C0500.03,147
Proportion of customers returning for repeat business: 26-50%,"Professional, scientific, & technical services",1,total,C0500.03,525
Proportion of customers returning for repeat business: 26-50%,Computer systems design,2,total,C0500.03,39
Proportion of customers returning for repeat business: 26-50%,Other professional scientific,2,total,C0500.03,489
Proportion of customers returning for repeat business: 26-50%,Administrative & support services,1,total,C0500.03,177
Proportion of customers returning for repeat business: 26-50%,Education & training,1,total,C0500.03,243
Proportion of customers returning for repeat business: 26-50%,Health care & social assistance,1,total,C0500.03,294
Proportion of customers returning for repeat business: 26-50%,Arts & recreation services,1,total,C0500.03,102
Proportion of customers returning for repeat business: 26-50%,Other services,1,total,C0500.03,69
Proportion of customers returning for repeat business: 26-50%,total,0,total,C0500.03,6534
Proportion of customers returning for repeat business: 51-75%,total,0,6�19 employees,C0500.04,8898
Proportion of customers returning for repeat business: 51-75%,total,0,20�49 employees,C0500.04,2151
Proportion of customers returning for repeat business: 51-75%,total,0,50�99 employees,C0500.04,498
Proportion of customers returning for repeat business: 51-75%,total,0,100+ employees,C0500.04,399
Proportion of customers returning for repeat business: 51-75%,"Agriculture, forestry, & fishing",1,total,C0500.04,207
Proportion of customers returning for repeat business: 51-75%,Agriculture,2,total,C0500.04,102
Proportion of customers returning for repeat business: 51-75%,Commercial fishing,2,total,C0500.04,0
Proportion of customers returning for repeat business: 51-75%,Forestry & logging,2,total,C0500.04,24
Proportion of customers returning for repeat business: 51-75%,"Agriculture, forestry, & fishing support services",2,total,C0500.04,81
Proportion of customers returning for repeat business: 51-75%,Mining,1,total,C0500.04,15
Proportion of customers returning for repeat business: 51-75%,Manufacturing,1,total,C0500.04,1311
Proportion of customers returning for repeat business: 51-75%,"Food, beverage, & tobacco",2,total,C0500.04,294
Proportion of customers returning for repeat business: 51-75%,"Textile, clothing, footwear, & leather",2,total,C0500.04,54
Proportion of customers returning for repeat business: 51-75%,Wood & paper product,2,total,C0500.04,81
Proportion of customers returning for repeat business: 51-75%,"Printing, publishing, & recorded media",2,total,C0500.04,63
Proportion of customers returning for repeat business: 51-75%,"Petroleum, coal, chemical, & associated product",2,total,C0500.04,84
Proportion of customers returning for repeat business: 51-75%,Non-metallic mineral product,2,total,C0500.04,66
Proportion of customers returning for repeat business: 51-75%,Metal product,2,total,C0500.04,243
Proportion of customers returning for repeat business: 51-75%,Transport and industrial machinery & equipment,2,total,C0500.04,243
Proportion of customers returning for repeat business: 51-75%,Other machinery & equipment,2,total,C0500.04,51
Proportion of customers returning for repeat business: 51-75%,Other manufacturing,2,total,C0500.04,129
Proportion of customers returning for repeat business: 51-75%,"Electricity, gas, water, & waste services",1,total,C0500.04,33
Proportion of customers returning for repeat business: 51-75%,Construction,1,total,C0500.04,1962
Proportion of customers returning for repeat business: 51-75%,Wholesale trade,1,total,C0500.04,513
Proportion of customers returning for repeat business: 51-75%,Machinery & equipment wholesaling,2,total,C0500.04,240
Proportion of customers returning for repeat business: 51-75%,Other wholesale trade,2,total,C0500.04,273
Proportion of customers returning for repeat business: 51-75%,Retail trade,1,total,C0500.04,1902
Proportion of customers returning for repeat business: 51-75%,Accommodation & food services,1,total,C0500.04,2442
Proportion of customers returning for repeat business: 51-75%,"Transport, postal, & warehousing",1,total,C0500.04,282
Proportion of customers returning for repeat business: 51-75%,Information media & telecommunications,1,total,C0500.04,138
Proportion of customers returning for repeat business: 51-75%,Publishing,2,total,C0500.04,57
Proportion of customers returning for repeat business: 51-75%,Motion picture,2,total,C0500.04,51
Proportion of customers returning for repeat business: 51-75%,Telecommunications,2,total,C0500.04,27
Proportion of customers returning for repeat business: 51-75%,Financial & insurance services,1,total,C0500.04,132
Proportion of customers returning for repeat business: 51-75%,Finance,2,total,C0500.04,48
Proportion of customers returning for repeat business: 51-75%,Insurance,2,total,C0500.04,6
Proportion of customers returning for repeat business: 51-75%,Auxiliary,2,total,C0500.04,81
Proportion of customers returning for repeat business: 51-75%,"Rental, hiring, & real estate services",1,total,C0500.04,282
Proportion of customers returning for repeat business: 51-75%,"Professional, scientific, & technical services",1,total,C0500.04,1158
Proportion of customers returning for repeat business: 51-75%,Computer systems design,2,total,C0500.04,153
Proportion of customers returning for repeat business: 51-75%,Other professional scientific,2,total,C0500.04,1005
Proportion of customers returning for repeat business: 51-75%,Administrative & support services,1,total,C0500.04,339
Proportion of customers returning for repeat business: 51-75%,Education & training,1,total,C0500.04,210
Proportion of customers returning for repeat business: 51-75%,Health care & social assistance,1,total,C0500.04,549
Proportion of customers returning for repeat business: 51-75%,Arts & recreation services,1,total,C0500.04,171
Proportion of customers returning for repeat business: 51-75%,Other services,1,total,C0500.04,294
Proportion of customers returning for repeat business: 51-75%,total,0,total,C0500.04,11952
Proportion of customers returning for repeat business: 76-100%,total,0,6�19 employees,C0500.05,18027
Proportion of customers returning for repeat business: 76-100%,total,0,20�49 employees,C0500.05,4491
Proportion of customers returning for repeat business: 76-100%,total,0,50�99 employees,C0500.05,1518
Proportion of customers returning for repeat business: 76-100%,total,0,100+ employees,C0500.05,1263
Proportion of customers returning for repeat business: 76-100%,"Agriculture, forestry, & fishing",1,total,C0500.05,3150
Proportion of customers returning for repeat business: 76-100%,Agriculture,2,total,C0500.05,2076
Proportion of customers returning for repeat business: 76-100%,Commercial fishing,2,total,C0500.05,39
Proportion of customers returning for repeat business: 76-100%,Forestry & logging,2,total,C0500.05,198
Proportion of customers returning for repeat business: 76-100%,"Agriculture, forestry, & fishing support services",2,total,C0500.05,837
Proportion of customers returning for repeat business: 76-100%,Mining,1,total,C0500.05,90
Proportion of customers returning for repeat business: 76-100%,Manufacturing,1,total,C0500.05,3357
Proportion of customers returning for repeat business: 76-100%,"Food, beverage, & tobacco",2,total,C0500.05,792
Proportion of customers returning for repeat business: 76-100%,"Textile, clothing, footwear, & leather",2,total,C0500.05,177
Proportion of customers returning for repeat business: 76-100%,Wood & paper product,2,total,C0500.05,351
Proportion of customers returning for repeat business: 76-100%,"Printing, publishing, & recorded media",2,total,C0500.05,120
Proportion of customers returning for repeat business: 76-100%,"Petroleum, coal, chemical, & associated product",2,total,C0500.05,351
Proportion of customers returning for repeat business: 76-100%,Non-metallic mineral product,2,total,C0500.05,99
Proportion of customers returning for repeat business: 76-100%,Metal product,2,total,C0500.05,597
Proportion of customers returning for repeat business: 76-100%,Transport and industrial machinery & equipment,2,total,C0500.05,549
Proportion of customers returning for repeat business: 76-100%,Other machinery & equipment,2,total,C0500.05,162
Proportion of customers returning for repeat business: 76-100%,Other manufacturing,2,total,C0500.05,159
Proportion of customers returning for repeat business: 76-100%,"Electricity, gas, water, & waste services",1,total,C0500.05,147
Proportion of customers returning for repeat business: 76-100%,Construction,1,total,C0500.05,3144
Proportion of customers returning for repeat business: 76-100%,Wholesale trade,1,total,C0500.05,2364
Proportion of customers returning for repeat business: 76-100%,Machinery & equipment wholesaling,2,total,C0500.05,600
Proportion of customers returning for repeat business: 76-100%,Other wholesale trade,2,total,C0500.05,1764
Proportion of customers returning for repeat business: 76-100%,Retail trade,1,total,C0500.05,2010
Proportion of customers returning for repeat business: 76-100%,Accommodation & food services,1,total,C0500.05,1650
Proportion of customers returning for repeat business: 76-100%,"Transport, postal, & warehousing",1,total,C0500.05,1137
Proportion of customers returning for repeat business: 76-100%,Information media & telecommunications,1,total,C0500.05,228
Proportion of customers returning for repeat business: 76-100%,Publishing,2,total,C0500.05,90
Proportion of customers returning for repeat business: 76-100%,Motion picture,2,total,C0500.05,54
Proportion of customers returning for repeat business: 76-100%,Telecommunications,2,total,C0500.05,81
Proportion of customers returning for repeat business: 76-100%,Financial & insurance services,1,total,C0500.05,384
Proportion of customers returning for repeat business: 76-100%,Finance,2,total,C0500.05,75
Proportion of customers returning for repeat business: 76-100%,Insurance,2,total,C0500.05,30
Proportion of customers returning for repeat business: 76-100%,Auxiliary,2,total,C0500.05,285
Proportion of customers returning for repeat business: 76-100%,"Rental, hiring, & real estate services",1,total,C0500.05,369
Proportion of customers returning for repeat business: 76-100%,"Professional, scientific, & technical services",1,total,C0500.05,3003
Proportion of customers returning for repeat business: 76-100%,Computer systems design,2,total,C0500.05,714
Proportion of customers returning for repeat business: 76-100%,Other professional scientific,2,total,C0500.05,2292
Proportion of customers returning for repeat business: 76-100%,Administrative & support services,1,total,C0500.05,1128
Proportion of customers returning for repeat business: 76-100%,Education & training,1,total,C0500.05,504
Proportion of customers returning for repeat business: 76-100%,Health care & social assistance,1,total,C0500.05,1467
Proportion of customers returning for repeat business: 76-100%,Arts & recreation services,1,total,C0500.05,207
Proportion of customers returning for repeat business: 76-100%,Other services,1,total,C0500.05,954
Proportion of customers returning for repeat business: 76-100%,total,0,total,C0500.05,25299
Who reviews and sets price: this business,total,0,6�19 employees,C0700.01,28728
Who reviews and sets price: this business,total,0,20�49 employees,C0700.01,6540
Who reviews and sets price: this business,total,0,50�99 employees,C0700.01,1827
Who reviews and sets price: this business,total,0,100+ employees,C0700.01,1398
Who reviews and sets price: this business,"Agriculture, forestry, & fishing",1,total,C0700.01,1827
Who reviews and sets price: this business,Agriculture,2,total,C0700.01,846
Who reviews and sets price: this business,Commercial fishing,2,total,C0700.01,30
Who reviews and sets price: this business,Forestry & logging,2,total,C0700.01,141
Who reviews and sets price: this business,"Agriculture, forestry, & fishing support services",2,total,C0700.01,810
Who reviews and sets price: this business,Mining,1,total,C0700.01,87
Who reviews and sets price: this business,Manufacturing,1,total,C0700.01,5085
